Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cells: marker+ Count	Cells: marker- Count	ID	Side	Parent ID	Num Detections	Num Cells: marker+	Num Cells: marker-	Area µm^2	Perimeter µm
animalid0_030.ome.tiff	4781ed63-0d8e-422e-aead-b685fbe20eb5	Annotation	Root		Root object (Image)	Geometry	5372.5	3922.1	0	0				2441	136	2305	31666431.6	37111.9
animalid0_030.ome.tiff	aa4b133d-13f9-42d9-8c21-45f143b41a85	Annotation	root	Right: root	Root	Polygon	7094.9	4085.7	0	0	997	0		1284	41	1243	15882755.9	18819.5
animalid0_030.ome.tiff	42c3b914-91c5-4b65-a603-3f9431717d48	Annotation	grey	Right: grey	root	Geometry	7256.8	4290.6	0	0	8	0	997	1009	24	985	12026268.7	49600.3
animalid0_030.ome.tiff	887af3eb-4061-4f8a-aa4c-fe9b81184061	Annotation	CB	Right: CB	grey	Geometry	7778.7	3679.2	0	16	512	0	8	542	5	537	6943579	30600.2
animalid0_030.ome.tiff	adaabc05-36d1-4aad-91fe-2e904adc574f	Annotation	CBN	Right: CBN	CB	Geometry	6790.5	3567.9	0	0	519	0	512	55	1	54	864212.3	7147.4
animalid0_030.ome.tiff	e430f34f-ad86-4d31-a699-fbbb77f734e1	Annotation	VeCB	Right: VeCB	CBN	Polygon	6580.7	3850.5	0	6	589508455	0	519	6	0	6	22255	720.67
animalid0_030.ome.tiff	400c1920-cfdc-4551-8c3c-737a38bb59b2	Annotation	DN	Right: DN	CBN	Polygon	7575.2	4074.2	0	1	846	0	519	1	0	1	74974.7	1266.7
animalid0_030.ome.tiff	c0d43d34-1622-492f-953b-9687f72e4931	Annotation	IP	Right: IP	CBN	Polygon	7056.3	3649.8	1	35	91	0	519	36	1	35	471288.4	3695.6
animalid0_030.ome.tiff	78caf6c9-ad2d-4610-92f5-4a9e1da5c471	Annotation	FN	Right: FN	CBN	Polygon	6183.6	3287.6	0	12	989	0	519	12	0	12	295694.2	2519.3
animalid0_030.ome.tiff	88397e9f-6258-4528-90d7-b1fee548806e	Annotation	CBX	Right: CBX	CB	Geometry	7578.4	3441.9	0	0	528	0	512	606	19	587	7443315.2	30474.8
animalid0_030.ome.tiff	6bd98248-7aaa-476f-bc59-f7056af7bc65	Annotation	VERM	Right: VERM	CBX	Geometry	6046.4	2467.4	0	0	645	0	528	383	18	365	2418706.6	11719.8
animalid0_030.ome.tiff	f3696e71-aa88-4a5b-91d7-31183acec1c3	Annotation	CUL	Right: CUL	VERM	Polygon	5851.6	2610.5	0	0	928	0	645	95	6	89	642171.7	3475.5
animalid0_030.ome.tiff	155e6e3e-8220-43b1-a804-9157365d4b4f	Annotation	CUL4, 5	Right: CUL4, 5	CUL	Polygon	5851.6	2610.5	6	89	1091	0	928	95	6	89	642171.7	3475.5
animalid0_030.ome.tiff	63fa1be6-2011-43e7-b19d-2274aefccb22	Annotation	DEC	Right: DEC	VERM	Geometry	6235.9	2075.9	9	93	936	0	645	102	9	93	1388968.3	8820.1
animalid0_030.ome.tiff	a8151007-469c-4c8b-9128-625920afcc1f	Annotation	NOD	Right: NOD	VERM	Polygon	5689.7	3634	3	183	968	0	645	186	3	183	387638.9	2786.4
animalid0_030.ome.tiff	23de50c4-4b95-4ef7-ac72-6a185a5bdfa2	Annotation	HEM	Right: HEM	CBX	Geometry	8315.9	3910.9	0	0	s	0	528	223	1	222	5024608.6	20551.2
animalid0_030.ome.tiff	4f4616b4-05b9-4727-b24f-32ecea1078f1	Annotation	PRM	Right: PRM	HEM	Polygon	8532.5	4190.6	0	20	1025	0	1073	20	0	20	317186.5	3296.9
animalid0_030.ome.tiff	b66aec61-a03d-4628-8b69-2777959d3930	Annotation	COPY	Right: COPY	HEM	Geometry	7869.7	4012.6	0	8	1033	0	1073	8	0	8	267433.4	2222.9
animalid0_030.ome.tiff	c222a76d-ce12-4069-a38a-10d38575132d	Annotation	PFL	Right: PFL	HEM	Polygon	8722.3	5243.1	0	39	1041	0	1073	39	0	39	1555795.9	9329.1
animalid0_030.ome.tiff	7b93f936-f316-4349-8352-cdb6dc413894	Annotation	FL	Right: FL	HEM	Polygon	8296.4	5381.7	0	5	1049	0	1073	5	0	5	207071.3	2387.4
animalid0_030.ome.tiff	d016e326-a150-4b09-9a44-d3f45b6c6a78	Annotation	SIM	Right: SIM	HEM	Geometry	6907.3	2852.7	1	10	1007	0	1073	11	1	10	79715.6	2225.2
animalid0_030.ome.tiff	03288bb6-f45b-4221-ac61-84939a103e3d	Annotation	AN	Right: AN	HEM	Polygon	8136.7	2983.6	0	0	1017	0	1073	140	0	140	2597405.9	8077.9
animalid0_030.ome.tiff	ffe55936-646a-4234-80e8-a34e36b5badb	Annotation	ANcr1	Right: ANcr1	AN	Polygon	7535.3	2560.7	0	74	1056	0	1017	74	0	74	980803.4	4500.5
animalid0_030.ome.tiff	d9c7904e-bdd2-4834-8ae6-61f954245184	Annotation	ANcr2	Right: ANcr2	AN	Polygon	8501.5	3240.2	0	66	1064	0	1017	66	0	66	1616602.5	7207.9
animalid0_030.ome.tiff	a4378ac2-7170-4a6c-8c3c-e78311f43379	Annotation	BS	Right: BS	grey	Geometry	6543.9	5125.9	0	0	343	0	8	467	19	448	5082501.8	21796.4
animalid0_030.ome.tiff	11cf6cdb-1cd4-4d56-b9c1-6849d41aea90	Annotation	HB	Right: HB	BS	Geometry	6543.9	5125.9	0	0	1065	0	343	467	19	448	5082501.8	21796.4
animalid0_030.ome.tiff	da7377f7-b6fe-4428-853a-e4270af46d8e	Annotation	MY	Right: MY	HB	Geometry	6543.9	5125.9	4	49	354	0	1065	467	19	448	5082501.8	21796.4
animalid0_030.ome.tiff	dd3fd467-967e-45c6-87ab-fa6d7b82512c	Annotation	MY-sen	Right: MY-sen	MY	Geometry	7488.1	5162.6	0	0	386	0	354	152	2	150	955342.4	7588.8
animalid0_030.ome.tiff	65b8087e-d4d4-48d1-9764-e810cbc3c429	Annotation	NTS	Right: NTS	MY-sen	Polygon	6789.1	4896.9	0	0	651	0	386	0	0	0	2189.2	199.79
animalid0_030.ome.tiff	dc9da797-b2cb-41a0-9abd-8ce92207c4a0	Annotation	SPVO	Right: SPVO	MY-sen	Polygon	7071.4	5331.4	0	30	445	0	386	30	0	30	305657.9	2439.5
animalid0_030.ome.tiff	95756e3a-a237-41a7-89f0-52224ecea46d	Annotation	CN	Right: CN	MY-sen	Polygon	7687.1	5083.8	0	0	607	0	386	122	2	120	647495.3	4949.4
animalid0_030.ome.tiff	e51fce68-6f59-4421-a70d-245fa26c7c4a	Annotation	DCO	Right: DCO	CN	Polygon	7634.6	4621	2	71	96	0	607	73	2	71	303133.3	3511.3
animalid0_030.ome.tiff	b869fb18-6e26-4456-8ae5-3af159877d59	Annotation	VCO	Right: VCO	CN	Polygon	7733.3	5491.2	0	49	101	0	607	49	0	49	344362	2718.5
animalid0_030.ome.tiff	61047b38-c03f-4c3f-8e89-859734df0e5e	Annotation	MY-mot	Right: MY-mot	MY	Geometry	6230.2	5001.6	0	0	370	0	354	259	12	247	3244263	14565.9
animalid0_030.ome.tiff	e51b68bf-f198-4dfc-900b-de53af9cf5a9	Annotation	IRN	Right: IRN	MY-mot	Polygon	6289	5283.4	1	45	136	0	370	46	1	45	361225	3076.5
animalid0_030.ome.tiff	6f6e9fb4-a653-4bb7-b856-a61a00c365a1	Annotation	VII	Right: VII	MY-mot	Polygon	6432.8	5914.6	0	19	661	0	370	19	0	19	404683.1	2401.8
animalid0_030.ome.tiff	6f0a9f73-713f-49c2-89d7-77f743743f9a	Annotation	GRN	Right: GRN	MY-mot	Geometry	5720.9	5313.6	7	56	1048	0	370	63	7	56	588393.1	4337.3
animalid0_030.ome.tiff	82a23700-3894-4ae2-aa00-c4d195ad5460	Annotation	PHY	Right: PHY	MY-mot	Polygon	5539.5	4447.9	0	0	154	0	370	3	0	3	89582.9	1278
animalid0_030.ome.tiff	e1355e1d-7e0f-4a6a-a274-35d7737bec73	Annotation	PRP	Right: PRP	PHY	Polygon	5539.5	4447.9	0	3	169	0	154	3	0	3	89582.9	1278
animalid0_030.ome.tiff	5ebbaa03-fdb2-424a-bd2a-c10f16660eda	Annotation	PGRN	Right: PGRN	MY-mot	Polygon	5628.8	4745.6	0	0	938	0	370	5	0	5	116171.3	1327.5
animalid0_030.ome.tiff	76c2ce98-2b4c-48e0-8ac8-08d0873a47fe	Annotation	PGRNd	Right: PGRNd	PGRN	Polygon	5628.8	4745.6	0	5	970	0	938	5	0	5	116171.3	1327.5
animalid0_030.ome.tiff	793363eb-c74d-4076-b30f-54b3fead047a	Annotation	PPY	Right: PPY	MY-mot	Polygon	5900.9	5932.6	0	1	1069	0	370	1	0	1	35249.1	707.61
animalid0_030.ome.tiff	611702b5-9fcd-4e8c-81a1-220892c54fb0	Annotation	MARN	Right: MARN	MY-mot	Polygon	5588.1	5716	2	4	307	0	370	6	2	4	108879.9	1337.8
animalid0_030.ome.tiff	c1f06632-7ded-437e-94b6-28c9d4af9a11	Annotation	VNC	Right: VNC	MY-mot	Geometry	6442.8	4378.1	0	0	701	0	370	84	0	84	1198415	5943.7
animalid0_030.ome.tiff	66fa406b-7594-4883-9ec8-e9ebba84e56f	Annotation	MV	Right: MV	VNC	Polygon	6118.5	4389.6	0	63	202	0	701	63	0	63	666917.8	3511.9
animalid0_030.ome.tiff	b5e824a2-4910-4e69-b4eb-3e6854059c7f	Annotation	LAV	Right: LAV	VNC	Geometry	6956.4	4401.9	0	2	209	0	701	2	0	2	144653.5	2647
animalid0_030.ome.tiff	cfa88555-c8ab-47d3-bda9-9eaf27d784d6	Annotation	SUV	Right: SUV	VNC	Polygon	6853.2	4011.3	0	13	217	0	701	13	0	13	97275.5	1211.3
animalid0_030.ome.tiff	f4b7b4fd-9d37-4456-a04a-0d4b3d01c060	Annotation	SPIV	Right: SPIV	VNC	Geometry	6795.5	4462.9	0	6	225	0	701	6	0	6	289568.2	2897.3
animalid0_030.ome.tiff	03629a3d-3e42-4a8e-9b9a-bc08ed17a92a	Annotation	PARN	Right: PARN	MY-mot	Polygon	6692.7	5259.9	2	29	852	0	370	31	2	29	325504.2	2665.1
animalid0_030.ome.tiff	2ab821f9-b737-44ee-9b66-d1a357733b11	Annotation	ICB	Right: ICB	MY-mot	Polygon	6495.3	3576.6	0	1	372	0	370	1	0	1	16159.4	558.93
animalid0_030.ome.tiff	2ad78621-7465-46f1-bafd-481e0e972165	Annotation	MY-sat	Right: MY-sat	MY	Polygon	5269.4	5775.4	0	0	379	0	354	3	1	2	37353.4	1403.2
animalid0_030.ome.tiff	687db6b8-447c-4101-9e7b-92c8e404fe44	Annotation	RM	Right: RM	MY-sat	Polygon	5271.3	5682.6	1	2	206	0	379	3	1	2	26415.9	1008.4
animalid0_030.ome.tiff	fd48f321-13cd-4553-b672-c65ca6ee14a0	Annotation	RPA	Right: RPA	MY-sat	Polygon	5264.1	6005.4	0	0	230	0	379	0	0	0	10742.4	480.67
animalid0_030.ome.tiff	82361173-cd0b-427e-93b1-7ceaec5e2df0	Annotation	VS	Right: VS	root	Geometry	6406.9	4287.6	0	0	73	0	997	72	1	71	403303.6	7549.3
animalid0_030.ome.tiff	99af4e7c-eb19-4ca7-89ad-52ada26073e1	Annotation	V4	Right: V4	VS	Geometry	6898.5	4453.8	0	4	145	0	73	13	0	13	152797.7	9730.2
animalid0_030.ome.tiff	a021d452-7c07-4d8f-b2d8-8a310ae702ec	Annotation	V4r	Right: V4r	V4	Geometry	7682.1	4740.4	0	9	153	0	145	9	0	9	90018.7	5718.4
animalid0_030.ome.tiff	a95ccb32-c8d6-4532-92a9-fe87982e3027	Annotation	VL	Right: VL	VS	Geometry	6106.2	4185.7	0	0	81	0	73	59	1	58	250396.3	4097.6
animalid0_030.ome.tiff	1cc4c46f-4e29-4241-a217-020897e702aa	Annotation	chpl	Right: chpl	VL	Geometry	6106.2	4185.7	1	58	108	0	81	59	1	58	250396.3	4097.6
animalid0_030.ome.tiff	bb5f0f79-a7c4-475a-a2a8-9382d1a581b8	Annotation	fiber tracts	Right: fiber tracts	root	Geometry	7001.9	4048.4	0	0	1009	0	997	68	1	67	1924702.5	31948.4
animalid0_030.ome.tiff	9af3b3a3-800b-4515-a0b0-8c9ed0779439	Annotation	cbf	Right: cbf	fiber tracts	Geometry	7151	3550.6	0	0	960	0	1009	60	1	59	1455522.3	23041.7
animalid0_030.ome.tiff	79fcd408-9a28-457e-a128-6cbe65c5df72	Annotation	arb	Right: arb	cbf	Geometry	7138.2	3381.4	0	41	728	0	960	41	0	41	1302854	20249.7
animalid0_030.ome.tiff	da055191-b945-4111-9175-2eafea966ec4	Annotation	cbc	Right: cbc	cbf	Polygon	5713	3266.8	0	0	744	0	960	0	0	0	0.2759	24.45
animalid0_030.ome.tiff	f2c6242f-9159-4165-8535-836c42e3f9bc	Annotation	cbp	Right: cbp	cbf	Geometry	7259.9	4994.9	0	0	752	0	960	19	1	18	152653.2	2816.5
animalid0_030.ome.tiff	56bb5c15-ebbb-48f6-9d70-a5d1ddba2dab	Annotation	scp	Right: scp	cbp	Polygon	6572.9	6250.9	0	0	326	0	752	9	1	8	30821.9	1247.8
animalid0_030.ome.tiff	cde01792-4fe9-4cdd-8923-1ba1fa94178e	Annotation	sctv	Right: sctv	scp	Polygon	6572.9	6250.9	1	8	866	0	326	9	1	8	30821.9	1247.8
animalid0_030.ome.tiff	623c7e27-807f-4c0a-b7ba-4ffe51311d9f	Annotation	icp	Right: icp	cbp	Polygon	7433.7	4677.2	0	10	1123	0	752	10	0	10	121831.3	1568.7
animalid0_030.ome.tiff	aafeeb2f-bfd3-4f1a-a40d-d9e4e225621d	Annotation	cm	Right: cm	fiber tracts	Geometry	6933.5	5426.2	0	0	967	0	1009	5	0	5	302434.8	6385.3
animalid0_030.ome.tiff	d3ea47b5-1100-41c5-99bf-8bd72c39cf15	Annotation	Vn	Right: Vn	cm	Polygon	7314.3	5518.6	0	0	901	0	967	4	0	4	225031.6	3106.7
animalid0_030.ome.tiff	6ad9df9a-716b-4ea7-9e62-66b54c542109	Annotation	sV	Right: sV	Vn	Polygon	7314.3	5518.6	0	0	229	0	901	4	0	4	225031.6	3106.7
animalid0_030.ome.tiff	9293982e-2060-4fa4-af45-f0c103560dac	Annotation	sptV	Right: sptV	sV	Polygon	7314.3	5518.6	0	4	794	0	229	4	0	4	225031.6	3106.7
animalid0_030.ome.tiff	fc6dae44-0ace-4e5b-a398-8296f7311d90	Annotation	drt	Right: drt	cm	Polygon	5384.6	5902.2	0	0	792	0	967	0	0	0	25978.9	598.53
animalid0_030.ome.tiff	161716f2-d22c-46e1-b567-a86bc142edaf	Annotation	cett	Right: cett	drt	Polygon	5384.6	5902.2	0	0	932	0	792	0	0	0	25978.9	598.53
animalid0_030.ome.tiff	fc382ad1-529b-4180-9f01-c92903a3b56a	Annotation	ml	Right: ml	cett	Polygon	5384.6	5902.2	0	0	697	0	932	0	0	0	25978.9	598.53
animalid0_030.ome.tiff	f27e3244-c41a-4531-bd7d-465b5afadc74	Annotation	VIIn	Right: VIIn	cm	Polygon	5974.1	4879.5	0	0	798	0	967	0	0	0	17737.9	597.34
animalid0_030.ome.tiff	ec043726-4919-4ef7-8a82-b37df90b07ea	Annotation	VIIIn	Right: VIIIn	cm	Geometry	6761.9	4762.8	0	0	933	0	967	1	0	1	17580.1	1335.5
animalid0_030.ome.tiff	65a74a8e-eb28-445e-a52e-3d186590d19f	Annotation	cVIIIn	Right: cVIIIn	VIIIn	Geometry	6761.9	4762.8	0	0	948	0	933	1	0	1	17580.1	1335.5
animalid0_030.ome.tiff	d3534e24-036b-47a0-9438-0f521d8e8265	Annotation	tb	Right: tb	cVIIIn	Geometry	6209.5	6270.8	0	1	841	0	948	1	0	1	4726.5	623.92
animalid0_030.ome.tiff	31eb656d-4f45-49a5-8432-f72f64141915	Annotation	das	Right: das	cVIIIn	Geometry	6965.1	4208.3	0	0	506	0	948	0	0	0	12853.6	711.61
animalid0_030.ome.tiff	6f73999d-41de-4509-89dd-782ca48dca2e	Annotation	IIIn	Right: IIIn	cm	Polygon	5356	4694.5	0	0	832	0	967	0	0	0	16106.3	747.17
animalid0_030.ome.tiff	7ee62012-05e6-4ad5-9c19-02021b934879	Annotation	mlf	Right: mlf	IIIn	Polygon	5356	4694.5	0	0	62	0	832	0	0	0	16106.3	747.17
animalid0_030.ome.tiff	d966c687-770b-49fd-9e10-429700550032	Annotation	lfbs	Right: lfbs	fiber tracts	Polygon	5492.2	6112.9	0	0	983	0	1009	1	0	1	80170.8	1139
animalid0_030.ome.tiff	30a28d05-261e-4566-824c-4c14487aca15	Annotation	cst	Right: cst	lfbs	Polygon	5492.2	6112.9	0	0	784	0	983	1	0	1	80170.8	1139
animalid0_030.ome.tiff	8500386a-9d32-4c10-bb94-fea0bb745c8b	Annotation	py	Right: py	cst	Polygon	5492.2	6112.9	0	1	190	0	784	1	0	1	80170.8	1139
animalid0_030.ome.tiff	1a6786a1-2235-44c0-805f-40a73c9efce9	Annotation	eps	Right: eps	fiber tracts	Geometry	6132.3	5691.4	0	0	1000	0	1009	2	0	2	86574.6	2453.8
animalid0_030.ome.tiff	fd41738f-1b1a-4d67-ab1b-36fe93a72e72	Annotation	rust	Right: rust	eps	Polygon	6738.1	6081.3	0	2	863	0	1000	2	0	2	48223.2	1560.6
animalid0_030.ome.tiff	d3fa078e-0aa7-473a-97bf-6bcf4846a5d6	Annotation	tsp	Right: tsp	eps	Polygon	5370.5	5201	0	0	877	0	1000	0	0	0	38351.4	893.2
animalid0_030.ome.tiff	6a1443f2-46d1-47ef-a84c-ed6d20b1d392	Annotation	tspc	Right: tspc	tsp	Polygon	5370.5	5201	0	0	1043	0	877	0	0	0	38351.4	893.2
animalid0_030.ome.tiff	347b527f-a616-4625-bef0-fec87a2fd1af	Annotation	root	Left: root	Root	Polygon	3639.2	3757.5	0	2	997	0		1157	95	1062	15783675.7	18292.5
animalid0_030.ome.tiff	18f554b9-54c4-4038-924d-c9f8248102e5	Annotation	grey	Left: grey	root	Geometry	3466.4	3974.6	0	0	8	0	997	874	75	799	11681537.2	47784.7
animalid0_030.ome.tiff	78b528ab-0fc4-4ed9-9fbf-92324d00e7f8	Annotation	CB	Left: CB	grey	Geometry	3026.5	3161.3	0	5	512	0	8	472	8	464	6435540.9	29166.9
animalid0_030.ome.tiff	03e21b32-2517-41a7-9a69-0083f225df13	Annotation	CBN	Left: CBN	CB	Geometry	3785.4	3337.3	0	0	519	0	512	25	2	23	972756.1	7279
animalid0_030.ome.tiff	c8cf8708-edd9-4653-92ed-28b48b85772e	Annotation	VeCB	Left: VeCB	CBN	Polygon	4079.1	3640.2	0	2	589508455	0	519	2	0	2	38143.6	820.84
animalid0_030.ome.tiff	f1bc1192-493c-404b-9d57-e1d9e41ac904	Annotation	DN	Left: DN	CBN	Polygon	3075.3	3723.7	0	2	846	0	519	2	0	2	103905	1420.3
animalid0_030.ome.tiff	17ed2003-83cf-4093-90c1-addd6b9506e6	Annotation	IP	Left: IP	CBN	Polygon	3523	3336.2	0	8	91	0	519	8	0	8	526108	3414.4
animalid0_030.ome.tiff	50beed33-66d1-49a0-83b6-1750cb9b0705	Annotation	FN	Left: FN	CBN	Polygon	4444.1	3169.4	2	11	989	0	519	13	2	11	304599.5	2620.4
animalid0_030.ome.tiff	3f1ad31d-3230-4335-8f0d-a7afb1985278	Annotation	CBX	Left: CBX	CB	Geometry	3299.6	2912.2	0	0	528	0	512	547	18	529	7108619.4	28951.2
animalid0_030.ome.tiff	7c56ba24-cabd-4250-83d6-bc8e734405b7	Annotation	VERM	Left: VERM	CBX	Geometry	4658.5	2293.2	0	1	645	0	528	321	14	307	2731622.8	11932.8
animalid0_030.ome.tiff	07fa8924-a293-4e34-b225-0ca9b8fceb7c	Annotation	CUL	Left: CUL	VERM	Geometry	4855.7	2534.4	0	0	928	0	645	83	11	72	795709	3823.1
animalid0_030.ome.tiff	138705ff-b026-43e0-856e-6e4d10d4a117	Annotation	CUL4, 5	Left: CUL4, 5	CUL	Geometry	4855.7	2534.4	11	72	1091	0	928	83	11	72	795709	3823.1
animalid0_030.ome.tiff	e068a9ad-3800-44f2-a538-ca39555c4732	Annotation	DEC	Left: DEC	VERM	Geometry	4488.5	1860.2	3	65	936	0	645	68	3	65	1559375.5	9069.3
animalid0_030.ome.tiff	7085026c-bf60-456e-baa5-893f38afcbf2	Annotation	NOD	Left: NOD	VERM	Polygon	4946.2	3576.8	0	169	968	0	645	169	0	169	376466.2	2668.9
animalid0_030.ome.tiff	1fbc2aa9-a4c1-4984-9229-26eeb83de1a0	Annotation	HEM	Left: HEM	CBX	Geometry	2451.5	3298.5	0	0	1073	0	528	226	4	222	4376996.6	19136.2
animalid0_030.ome.tiff	eb997951-39d6-43cb-9499-a0578cf0fefc	Annotation	PRM	Left: PRM	HEM	Polygon	2125.1	3535.6	0	16	1025	0	1073	16	0	16	247972.4	2459.1
animalid0_030.ome.tiff	8b15029b-b656-43c8-98a2-5d0921913ceb	Annotation	COPY	Left: COPY	HEM	Polygon	2725.5	3540.4	0	8	1033	0	1073	8	0	8	335874.6	2469.1
animalid0_030.ome.tiff	f5902d48-9b80-4f56-a21f-958df5a469f2	Annotation	PFL	Left: PFL	HEM	Polygon	2015.5	4604.7	2	67	1041	0	1073	69	2	67	1304755.4	8478.8
animalid0_030.ome.tiff	abd32378-8d96-4d3f-ac49-71b6b37423f7	Annotation	FL	Left: FL	HEM	Polygon	2301.1	4835.4	0	11	1049	0	1073	11	0	11	133343.3	1871
animalid0_030.ome.tiff	fbc5492e-93e8-4b7a-84e5-119dc5ebbea5	Annotation	SIM	Left: SIM	HEM	Geometry	3751	2529.6	0	9	1007	0	1073	9	0	9	103150.3	2510.7
animalid0_030.ome.tiff	8ac68d20-59ba-4519-b962-f921591d66bc	Annotation	AN	Left: AN	HEM	Geometry	2648.6	2423.7	0	0	1017	0	1073	113	2	111	2251900.6	7507.9
animalid0_030.ome.tiff	925ed0f0-6c22-450e-a999-9a0ad66d5715	Annotation	ANcr1	Left: ANcr1	AN	Geometry	3170.7	2131.5	2	61	1056	0	1017	63	2	61	1050012.8	4560.5
animalid0_030.ome.tiff	89e5600a-fd71-433b-b49f-5b9c7c87ee57	Annotation	ANcr2	Left: ANcr2	AN	Geometry	2192.5	2678.9	0	50	1064	0	1017	50	0	50	1201887.9	6279.2
animalid0_030.ome.tiff	19738d5e-25d3-4e22-a8d1-74bcae20831c	Annotation	BS	Left: BS	grey	Geometry	4006.1	4972.3	0	0	343	0	8	402	67	335	5245879.8	21849.2
animalid0_030.ome.tiff	6d542d5c-deb0-4583-a269-30f238be6e04	Annotation	HB	Left: HB	BS	Geometry	4006.1	4972.3	0	0	1065	0	343	402	67	335	5245879.8	21849.2
animalid0_030.ome.tiff	bb9778ad-6541-4c4e-9afb-42cde2ae7b67	Annotation	P	Left: P	HB	Geometry	4171.5	6029.3	0	1	771	0	1065	1	0	1	1753.8	429.12
animalid0_030.ome.tiff	95ce31e7-0205-4d6d-aa0b-542f2755a533	Annotation	MY	Left: MY	HB	Geometry	4006	4971.9	4	25	354	0	1065	401	67	334	5243997.6	22183.1
animalid0_030.ome.tiff	fb0ae035-86d0-4b78-a57a-bd1fc4bb96e2	Annotation	MY-sen	Left: MY-sen	MY	Geometry	3064.1	4874.8	0	0	386	0	354	93	0	93	975024.3	7409.3
animalid0_030.ome.tiff	2625384a-1692-40c4-ab23-ff732ce25907	Annotation	NTS	Left: NTS	MY-sen	Polygon	3813.9	4772.3	0	0	651	0	386	0	0	0	356.97	107.15
animalid0_030.ome.tiff	5e9b25c5-1f75-4273-9025-bc85db5615d4	Annotation	SPVO	Left: SPVO	MY-sen	Polygon	3443.4	5172.4	0	7	445	0	386	7	0	7	341753.4	2586.6
animalid0_030.ome.tiff	866ae418-f1e2-4cd5-8ffd-bc6ef85925d7	Annotation	CN	Left: CN	MY-sen	Geometry	2858.9	4714.1	0	0	607	0	386	86	0	86	632913.9	4715.5
animalid0_030.ome.tiff	9545de56-4287-4519-b7ff-f79108d3800a	Annotation	DCO	Left: DCO	CN	Geometry	2963.9	4312.9	0	71	96	0	607	71	0	71	311041.2	3166.6
animalid0_030.ome.tiff	70b98f2d-9407-45fb-ac6f-670a8efda92f	Annotation	VCO	Left: VCO	CN	Polygon	2757.5	5101.8	0	15	101	0	607	15	0	15	321872.8	2525.5
animalid0_030.ome.tiff	c911ce7b-ab23-4bc2-99df-69e992cafb0e	Annotation	MY-mot	Left: MY-mot	MY	Geometry	4333.9	4904.2	0	0	370	0	354	272	57	215	3368809.9	15299.4
animalid0_030.ome.tiff	2eca73cb-84ab-4ee4-b59d-71e2016c211d	Annotation	IRN	Left: IRN	MY-mot	Polygon	4278.3	5240.5	6	29	136	0	370	35	6	29	412441.7	3227.9
animalid0_030.ome.tiff	ada5dbfc-2626-463f-a3c4-988122d4c29c	Annotation	y	Left: y	MY-mot	Polygon	3516.9	3879.1	0	0	781	0	370	0	0	0	5755.7	419.67
animalid0_030.ome.tiff	830140a2-7de2-492b-bfdd-f09b1562045a	Annotation	VII	Left: VII	MY-mot	Polygon	4088.1	5864.8	7	20	661	0	370	27	7	20	342108.9	2252.4
animalid0_030.ome.tiff	81aad93b-d106-44d2-9a62-3566f4f5d1f6	Annotation	GRN	Left: GRN	MY-mot	Geometry	4827.6	5315.1	30	59	1048	0	370	89	30	59	648640.6	4438.1
animalid0_030.ome.tiff	05105593-2c77-4b14-b4fd-66fc95c2c6a3	Annotation	PHY	Left: PHY	MY-mot	Polygon	5063.1	4382.6	0	0	154	0	370	1	0	1	87258.9	1250.9
animalid0_030.ome.tiff	6d51a475-591b-40a7-b9c9-768d1a39c4dd	Annotation	PRP	Left: PRP	PHY	Polygon	5063.1	4382.6	0	1	169	0	154	1	0	1	87258.9	1250.9
animalid0_030.ome.tiff	3466a050-802a-4d73-afb3-dbad458cb480	Annotation	PGRN	Left: PGRN	MY-mot	Polygon	4967.6	4674.1	0	0	938	0	370	12	0	12	130597.6	1362.5
animalid0_030.ome.tiff	5bf5fbc8-35ed-4e69-9262-f0bc8ee3c242	Annotation	PGRNd	Left: PGRNd	PGRN	Polygon	4967.6	4674.1	0	12	970	0	938	12	0	12	130597.6	1362.5
animalid0_030.ome.tiff	87161025-1722-43f8-83e8-33d3614daf4b	Annotation	PPY	Left: PPY	MY-mot	Polygon	4595.8	5962.5	0	11	1069	0	370	11	0	11	28017.4	650.39
animalid0_030.ome.tiff	58a312b6-5ea2-406c-9392-591a8421efee	Annotation	MARN	Left: MARN	MY-mot	Polygon	4927.3	5780.1	0	3	307	0	370	3	0	3	92970.4	1246.6
animalid0_030.ome.tiff	8d1d2962-0830-4343-aaeb-8adc2a46daf0	Annotation	VNC	Left: VNC	MY-mot	Geometry	4142.6	4234.8	0	0	701	0	370	68	14	54	1213909.7	6020.6
animalid0_030.ome.tiff	c813f74f-7cb9-46c9-8493-d3eb6ab78c62	Annotation	MV	Left: MV	VNC	Polygon	4490.1	4298.5	6	49	202	0	701	55	6	49	593444.1	3396.2
animalid0_030.ome.tiff	fe405d96-a586-4ef6-a10a-ae06b4ac1c7f	Annotation	LAV	Left: LAV	VNC	Geometry	3713.9	4235	3	2	209	0	701	5	3	2	204291.7	3191
animalid0_030.ome.tiff	bf4aec4d-ada3-4c97-9a42-a1ace3276959	Annotation	SUV	Left: SUV	VNC	Polygon	3796.2	3791	1	0	217	0	701	1	1	0	125951.5	1366.2
animalid0_030.ome.tiff	cf20f156-124d-4dbf-b2bc-858b6ec5cf90	Annotation	SPIV	Left: SPIV	VNC	Geometry	3884.3	4296.9	4	3	225	0	701	7	4	3	290217.1	3190.2
